s,A(s) (GHz),B(s) (GHz),c (normalized)
0.522,0.03039449,3.25439600,0.52152150
0.523,0.02934644,3.26657000,0.52252250
0.524,0.02829839,3.27876800,0.52352350
0.525,0.02726872,3.29095800,0.52452450
0.526,0.02644441,3.30284900,0.52552550
0.527,0.02566055,3.31469500,0.52652650
0.528,0.02487668,3.32656400,0.52752750
0.529,0.02409282,3.33845300,0.52852850
0.530,0.02330896,3.35036400,0.52952950
0.531,0.02252510,3.36229600,0.53053050
0.532,0.02188962,3.37393700,0.53153150
0.533,0.02128833,3.38552800,0.53253250
0.534,0.02068703,3.39713700,0.53353350
0.535,0.02008574,3.40876700,0.53453450
0.536,0.01948445,3.42041700,0.53553550
0.537,0.01888316,3.43208600,0.53653650
0.538,0.01828186,3.44377600,0.53753750
0.539,0.01768057,3.45548500,0.53853850
0.540,0.01707928,3.46721400,0.53953950
0.541,0.01647799,3.47896300,0.54054050
0.542,0.01587985,3.49072500,0.54154150
0.543,0.01536152,3.50232000,0.54254250
0.544,0.01491275,3.51377100,0.54354350
0.545,0.01446399,3.52524100,0.54454450
0.546,0.01401522,3.53672900,0.54554550
0.547,0.01356646,3.54823600,0.54654650
0.548,0.01311769,3.55976200,0.54754750
0.549,0.01269300,3.57123200,0.54854850
0.550,0.01233992,3.58249700,0.54954950
0.551,0.01198685,3.59378100,0.55055060
0.552,0.01163377,3.60508100,0.55155160
0.553,0.01128069,3.61640000,0.55255260
0.554,0.01092762,3.62773700,0.55355360
0.555,0.01057454,3.63909000,0.55455460
0.556,0.01022146,3.65046200,0.55555560
0.557,0.00986839,3.66185300,0.55655660
0.558,0.00951531,3.67326000,0.55755760
0.559,0.00916223,3.68468400,0.55855860
0.560,0.00883072,3.69605300,0.55955960
0.561,0.00856098,3.70722200,0.56056060
0.562,0.00829440,3.71839700,0.56156160
0.563,0.00802782,3.72959000,0.56256260
0.564,0.00776124,3.74080000,0.56356360
0.565,0.00749466,3.75202500,0.56456460
0.566,0.00723164,3.76325100,0.56556560
0.567,0.00700641,3.77431700,0.56656660
0.568,0.00680487,3.78528800,0.56756760
0.569,0.00660334,3.79627500,0.56856860
0.570,0.00640181,3.80727700,0.56956960
0.571,0.00620028,3.81829700,0.57057060
0.572,0.00599874,3.82933200,0.57157160
0.573,0.00579721,3.84038200,0.57257260
0.574,0.00559568,3.85144800,0.57357360
0.575,0.00539414,3.86253100,0.57457460
0.576,0.00519261,3.87362900,0.57557560
0.577,0.00499108,3.88474300,0.57657660
0.578,0.00483542,3.89562500,0.57757760
0.579,0.00468717,3.90648300,0.57857860
0.580,0.00453893,3.91735600,0.57957960
0.581,0.00439068,3.92824400,0.58058060
0.582,0.00424243,3.93914600,0.58158160
0.583,0.00409419,3.95006400,0.58258260
0.584,0.00395053,3.96096200,0.58358360
0.585,0.00383776,3.97163800,0.58458460
0.586,0.00372499,3.98232800,0.58558560
0.587,0.00361222,3.99303100,0.58658660
0.588,0.00349945,4.00375000,0.58758760
0.589,0.00338668,4.01448300,0.58858860
0.590,0.00327391,4.02523000,0.58958960
0.591,0.00316114,4.03599200,0.59059060
0.592,0.00304838,4.04676800,0.59159160
0.593,0.00293561,4.05755800,0.59259260
0.594,0.00282364,4.06835600,0.59359360
0.595,0.00272504,4.07905600,0.59459460
0.596,0.00264169,4.08964200,0.59559560
0.597,0.00255833,4.10024200,0.59659660
0.598,0.00247498,4.11085500,0.59759760
0.599,0.00239162,4.12148200,0.59859860
0.600,0.00230827,4.13212300,0.59959960
0.601,0.00222491,4.14277800,0.60060060
0.602,0.00215274,4.15330700,0.60160160
0.603,0.00208848,4.16375000,0.60260260
0.604,0.00202444,4.17420400,0.60360360
0.605,0.00196039,4.18467100,0.60460460
0.606,0.00189635,4.19515200,0.60560560
0.607,0.00183230,4.20564500,0.60660660
0.608,0.00176825,4.21615200,0.60760760
0.609,0.00170421,4.22667100,0.60860860
0.610,0.00164016,4.23720400,0.60960960
0.611,0.00157612,4.24774900,0.61061060
0.612,0.00151505,4.25826700,0.61161160
0.613,0.00146872,4.26859900,0.61261260
0.614,0.00142255,4.27894100,0.61361360
0.615,0.00137639,4.28929500,0.61461460
0.616,0.00133022,4.29966100,0.61561560
