s,A(s) (GHz),B(s) (GHz),C (normalized)
0.200,2.33835700,1.81358200,0.31728220
0.201,2.32341700,1.82226500,0.31785910
0.202,2.30847700,1.83096800,0.31843610
0.203,2.29353600,1.83969200,0.31901310
0.204,2.27876900,1.84843700,0.31958500
0.205,2.26436400,1.85720200,0.32014640
0.206,2.24995800,1.86598800,0.32070770
0.207,2.23555300,1.87479500,0.32126910
0.208,2.22114700,1.88362300,0.32183050
0.209,2.20674100,1.89247100,0.32239180
0.210,2.19233600,1.90134000,0.32295320
0.211,2.17793000,1.91023000,0.32351450
0.212,2.16352500,1.91914000,0.32407590
0.213,2.14972100,1.92807200,0.32462060
0.214,2.13613700,1.93702400,0.32515930
0.215,2.12255300,1.94599600,0.32569790
0.216,2.10896800,1.95499000,0.32623660
0.217,2.09538400,1.96400400,0.32677520
0.218,2.08179900,1.97303900,0.32731390
0.219,2.06821500,1.98209500,0.32785250
0.220,2.05463000,1.99117100,0.32839120
0.221,2.04104600,2.00026800,0.32892980
0.222,2.02752400,2.00938600,0.32946680
0.223,2.01425400,2.01852500,0.32999730
0.224,2.00098400,2.02768400,0.33052770
0.225,1.98771500,2.03686400,0.33105810
0.226,1.97497800,2.04606500,0.33157490
0.227,1.96238400,2.05528600,0.33208820
0.228,1.94978900,2.06452900,0.33260140
0.229,1.93719500,2.07379200,0.33311460
0.230,1.92460100,2.08307500,0.33362790
0.231,1.91200600,2.09238000,0.33414110
0.232,1.89941200,2.10170500,0.33465440
0.233,1.88681800,2.11105100,0.33516760
0.234,1.87422300,2.12041800,0.33568080
0.235,1.86162900,2.12980500,0.33619410
0.236,1.84966100,2.13921300,0.33669230
0.237,1.83795100,2.14864200,0.33718440
0.238,1.82624200,2.15809200,0.33767650
0.239,1.81453300,2.16756200,0.33816860
0.240,1.80282300,2.17705300,0.33866070
0.241,1.79111400,2.18656500,0.33915280
0.242,1.77940500,2.19609800,0.33964490
0.243,1.76769600,2.20565100,0.34013700
0.244,1.75598600,2.21522500,0.34062910
0.245,1.74427700,2.22482000,0.34112110
0.246,1.73256800,2.23443500,0.34161320
0.247,1.72103500,2.24407100,0.34210150
0.248,1.70956200,2.25372800,0.34258840
0.249,1.69814800,2.26340600,0.34307410
0.250,1.68707000,2.27310400,0.34355270
0.251,1.67603600,2.28282300,0.34403040
0.252,1.66500100,2.29256300,0.34450800
0.253,1.65396700,2.30232400,0.34498570
0.254,1.64293300,2.31210500,0.34546340
0.255,1.63189900,2.32190700,0.34594110
0.256,1.62086400,2.33173000,0.34641880
0.257,1.60983000,2.34157400,0.34689650
0.258,1.59879600,2.35143800,0.34737410
0.259,1.58776200,2.36132300,0.34785180
0.260,1.57672700,2.37122900,0.34832950
0.261,1.56613400,2.38115500,0.34879900
0.262,1.55576200,2.39110300,0.34926440
0.263,1.54538900,2.40107100,0.34972980
0.264,1.53501600,2.41105900,0.35019510
0.265,1.52464300,2.42106900,0.35066050
0.266,1.51427100,2.43109900,0.35112590
0.267,1.50389800,2.44115000,0.35159130
0.268,1.49352500,2.45122100,0.35205670
0.269,1.48315200,2.46131400,0.35252210
0.270,1.47278000,2.47142700,0.35298740
0.271,1.46240700,2.48156100,0.35345280
0.272,1.45203400,2.49171500,0.35391820
0.273,1.44181800,2.50189000,0.35438100
0.274,1.43171900,2.51208700,0.35484180
0.275,1.42191900,2.52230300,0.35529760
0.276,1.41221700,2.53254100,0.35575180
0.277,1.40251600,2.54279900,0.35620600
0.278,1.39281500,2.55307800,0.35666020
0.279,1.38311300,2.56337800,0.35711440
